date,country,continent,new_cases,new_deaths,new_recovered,total_cases,total_deaths,total_recovered,active_cases,cfr,vaccination_pct
2020-02-20,USA,North America,106,8,95,2646,134,2387,125,5.0642,0.0
2020-02-21,USA,North America,186,8,164,2832,142,2551,139,5.0141,0.0
2020-02-22,USA,North America,104,4,92,2936,146,2643,147,4.9728,0.0
2020-02-23,USA,North America,164,12,146,3100,158,2789,153,5.0968,0.0
2020-02-24,USA,North America,141,11,129,3241,169,2918,154,5.2144,0.0
2020-02-25,USA,North America,105,4,95,3346,173,3013,160,5.1704,0.0
2020-02-26,USA,North America,121,9,113,3467,182,3126,159,5.2495,0.0
2020-02-27,USA,North America,136,7,121,3603,189,3247,167,5.2456,0.0
2020-02-28,USA,North America,129,4,116,3732,193,3363,176,5.1715,0.0
2020-02-29,USA,North America,135,8,125,3867,201,3488,178,5.1978,0.0
2020-03-01,USA,North America,163,8,154,4030,209,3642,179,5.1861,0.0
2020-03-02,USA,North America,82,3,72,4112,212,3714,186,5.1556,0.0
2020-03-03,USA,North America,149,9,136,4261,221,3850,190,5.1866,0.0
2020-03-04,USA,North America,144,5,131,4405,226,3981,198,5.1305,0.0
2020-03-05,USA,North America,170,15,152,4575,241,4133,201,5.2678,0.0
2020-03-06,USA,North America,223,9,207,4798,250,4340,208,5.2105,0.0
2020-03-07,USA,North America,202,10,186,5000,260,4526,214,5.2,0.0
2020-03-08,USA,North America,195,6,183,5195,266,4709,220,5.1203,0.0
2020-03-09,USA,North America,322,15,287,5517,281,4996,240,5.0933,0.0
2020-03-10,USA,North America,174,12,153,5691,293,5149,249,5.1485,0.0
2020-03-11,USA,North America,148,8,132,5839,301,5281,257,5.155,0.0
2020-03-12,USA,North America,127,9,115,5966,310,5396,260,5.1961,0.0
2020-03-13,USA,North America,204,17,181,6170,327,5577,266,5.2998,0.0
2020-03-14,USA,North America,142,12,133,6312,339,5710,263,5.3707,0.0
2020-03-15,USA,North America,165,7,152,6477,346,5862,269,5.342,0.0
2020-03-16,USA,North America,198,12,177,6675,358,6039,278,5.3633,0.0
2020-03-17,USA,North America,277,9,261,6952,367,6300,285,5.2791,0.0
2020-03-18,USA,North America,205,10,185,7157,377,6485,295,5.2676,0.0
2020-03-19,USA,North America,242,17,228,7399,394,6713,292,5.325,0.0
2020-03-20,USA,North America,209,14,185,7608,408,6898,302,5.3628,0.0
2020-03-21,USA,North America,218,8,205,7826,416,7103,307,5.3156,0.0
2020-03-22,USA,North America,216,6,192,8042,422,7295,325,5.2475,0.0
2020-03-23,USA,North America,161,10,149,8203,432,7444,327,5.2664,0.0
2020-03-24,USA,North America,141,10,126,8344,442,7570,332,5.2972,0.0
2020-03-25,USA,North America,249,12,232,8593,454,7802,337,5.2834,0.0
2020-03-26,USA,North America,275,19,252,8868,473,8054,341,5.3338,0.0
2020-03-27,USA,North America,235,8,212,9103,481,8266,356,5.284,0.0
2020-03-28,USA,North America,160,14,145,9263,495,8411,357,5.3438,0.0
2020-03-29,USA,North America,165,13,152,9428,508,8563,357,5.3882,0.0
2020-03-30,USA,North America,214,13,195,9642,521,8758,363,5.4034,0.0
2020-03-31,USA,North America,332,13,308,9974,534,9066,374,5.3539,0.0
2020-04-01,USA,North America,156,13,147,10130,547,9213,370,5.3998,0.0
2020-04-02,USA,North America,251,21,227,10381,568,9440,373,5.4715,0.0
2020-04-03,USA,North America,252,22,236,10633,590,9676,367,5.5488,0.0
2020-04-04,USA,North America,215,10,194,10848,600,9870,378,5.531,0.0
2020-04-05,USA,North America,193,7,177,11041,607,10047,387,5.4977,0.0
2020-04-06,USA,North America,286,24,265,11327,631,10312,384,5.5708,0.0
2020-04-07,USA,North America,170,11,161,11497,642,10473,382,5.5841,0.0
2020-04-08,USA,North America,234,8,214,11731,650,10687,394,5.5409,0.0
2020-04-09,USA,North America,249,17,231,11980,667,10918,395,5.5676,0.0
2020-04-10,USA,North America,266,13,239,12246,680,11157,409,5.5528,0.0
2020-04-11,USA,North America,263,21,248,12509,701,11405,403,5.604,0.0
2020-04-12,USA,North America,263,15,240,12772,716,11645,411,5.606,0.0
2020-04-13,USA,North America,268,19,250,13040,735,11895,410,5.6365,0.0
2020-04-14,USA,North America,318,26,287,13358,761,12182,415,5.697,0.0
2020-04-15,USA,North America,179,11,157,13537,772,12339,426,5.7029,0.0
2020-04-16,USA,North America,211,12,193,13748,784,12532,432,5.7026,0.0
2020-04-17,USA,North America,278,8,245,14026,792,12777,457,5.6467,0.0
2020-04-18,USA,North America,139,11,125,14165,803,12902,460,5.6689,0.0
2020-04-19,USA,North America,231,17,206,14396,820,13108,468,5.696,0.0
2020-04-20,USA,North America,163,10,144,14559,830,13252,477,5.7009,0.0
2020-04-21,USA,North America,229,14,211,14788,844,13463,481,5.7073,0.0
2020-04-22,USA,North America,185,13,175,14973,857,13638,478,5.7236,0.0
2020-04-23,USA,North America,122,9,109,15095,866,13747,482,5.737,0.0
2020-04-24,USA,North America,237,13,209,15332,879,13956,497,5.7331,0.0
2020-04-25,USA,North America,260,14,231,15592,893,14187,512,5.7273,0.0
2020-04-26,USA,North America,289,11,259,15881,904,14446,531,5.6923,0.0
2020-04-27,USA,North America,378,26,340,16259,930,14786,543,5.7199,0.0
2020-04-28,USA,North America,250,21,232,16509,951,15018,540,5.7605,0.0
2020-04-29,USA,North America,417,23,374,16926,974,15392,560,5.7545,0.0
2020-04-30,USA,North America,300,15,279,17226,989,15671,566,5.7413,0.0
2020-05-01,USA,North America,250,14,221,17476,1003,15892,581,5.7393,0.0
2020-05-02,USA,North America,275,16,251,17751,1019,16143,589,5.7405,0.0
2020-05-03,USA,North America,201,10,185,17952,1029,16328,595,5.732,0.0
2020-05-04,USA,North America,148,10,130,18100,1039,16458,603,5.7403,0.0
2020-05-05,USA,North America,331,19,311,18431,1058,16769,604,5.7403,0.0
2020-05-06,USA,North America,139,9,123,18570,1067,16892,611,5.7458,0.0
2020-05-07,USA,North America,225,7,207,18795,1074,17099,622,5.7143,0.0
2020-05-08,USA,North America,176,15,161,18971,1089,17260,622,5.7403,0.0
2020-05-09,USA,North America,338,19,310,19309,1108,17570,631,5.7383,0.0
2020-05-10,USA,North America,144,12,130,19453,1120,17700,633,5.7575,0.0
2020-05-11,USA,North America,226,7,203,19679,1127,17903,649,5.7269,0.0
2020-05-12,USA,North America,171,13,150,19850,1140,18053,657,5.7431,0.0
2020-05-13,USA,North America,172,6,159,20022,1146,18212,664,5.7237,0.0
2020-05-14,USA,North America,264,17,248,20286,1163,18460,663,5.733,0.0
2020-05-15,USA,North America,260,12,232,20546,1175,18692,679,5.7189,0.0
2020-05-16,USA,North America,245,18,229,20791,1193,18921,677,5.7381,0.0
2020-05-17,USA,North America,200,10,186,20991,1203,19107,681,5.731,0.0
2020-05-18,USA,North America,208,10,196,21199,1213,19303,683,5.722,0.0
2020-05-19,USA,North America,187,14,174,21386,1227,19477,682,5.7374,0.0
2020-05-20,USA,North America,276,9,260,21662,1236,19737,689,5.7058,0.0
2020-05-21,USA,North America,293,14,276,21955,1250,20013,692,5.6935,0.0
2020-05-22,USA,North America,198,10,174,22153,1260,20187,706,5.6877,0.0
2020-05-23,USA,North America,217,18,199,22370,1278,20386,706,5.713,0.0
2020-05-24,USA,North America,188,12,171,22558,1290,20557,711,5.7186,0.0
2020-05-25,USA,North America,144,10,134,22702,1300,20691,711,5.7264,0.0
2020-05-26,USA,North America,135,10,126,22837,1310,20817,710,5.7363,0.0
2020-05-27,USA,North America,194,6,178,23031,1316,20995,720,5.714,0.0
2020-05-28,USA,North America,148,8,139,23179,1324,21134,721,5.7121,0.0
2020-05-29,USA,North America,152,5,141,23331,1329,21275,727,5.6963,0.0
2020-05-30,USA,North America,176,11,156,23507,1340,21431,736,5.7004,0.0
2020-05-31,USA,North America,209,7,195,23716,1347,21626,743,5.6797,0.0
2020-06-01,USA,North America,167,12,147,23883,1359,21773,751,5.6902,0.0
2020-06-02,USA,North America,126,9,119,24009,1368,21892,749,5.6979,0.0
2020-06-03,USA,North America,128,11,119,24137,1379,22011,747,5.7132,0.0
2020-06-04,USA,North America,158,12,145,24295,1391,22156,748,5.7255,0.0
2020-06-05,USA,North America,184,10,173,24479,1401,22329,749,5.7233,0.0
2020-06-06,USA,North America,196,6,178,24675,1407,22507,761,5.7021,0.0
2020-06-07,USA,North America,146,4,129,24821,1411,22636,774,5.6847,0.0
2020-06-08,USA,North America,219,16,201,25040,1427,22837,776,5.6989,0.0
2020-06-09,USA,North America,156,13,141,25196,1440,22978,778,5.7152,0.0
2020-06-10,USA,North America,248,10,234,25444,1450,23212,782,5.6988,0.0
2020-06-11,USA,North America,180,5,170,25624,1455,23382,787,5.6783,0.0
2020-06-12,USA,North America,219,7,201,25843,1462,23583,798,5.6572,0.0
2020-06-13,USA,North America,207,18,189,26050,1480,23772,798,5.6814,0.0
2020-06-14,USA,North America,321,18,296,26371,1498,24068,805,5.6805,0.0
2020-06-15,USA,North America,280,18,264,26651,1516,24332,803,5.6883,0.0
2020-06-16,USA,North America,409,19,365,27060,1535,24697,828,5.6726,0.0
2020-06-17,USA,North America,168,9,151,27228,1544,24848,836,5.6706,0.0
2020-06-18,USA,North America,172,15,163,27400,1559,25011,830,5.6898,0.0
2020-06-19,USA,North America,229,16,210,27629,1575,25221,833,5.7005,0.0
2020-06-20,USA,North America,294,20,262,27923,1595,25483,845,5.7121,0.0
2020-06-21,USA,North America,188,15,176,28111,1610,25659,842,5.7273,0.0
2020-06-22,USA,North America,152,13,142,28263,1623,25801,839,5.7425,0.0
2020-06-23,USA,North America,398,13,350,28661,1636,26151,874,5.7081,0.0
2020-06-24,USA,North America,332,29,295,28993,1665,26446,882,5.7428,0.0
2020-06-25,USA,North America,205,13,185,29198,1678,26631,889,5.747,0.0
2020-06-26,USA,North America,231,12,207,29429,1690,26838,901,5.7426,0.0
2020-06-27,USA,North America,352,11,331,29781,1701,27169,911,5.7117,0.0
2020-06-28,USA,North America,246,18,232,30027,1719,27401,907,5.7248,0.0
2020-06-29,USA,North America,253,20,227,30280,1739,27628,913,5.7431,0.0
2020-06-30,USA,North America,184,16,169,30464,1755,27797,912,5.7609,0.0
2020-07-01,USA,North America,246,10,228,30710,1765,28025,920,5.7473,0.0
2020-07-02,USA,North America,164,6,152,30874,1771,28177,926,5.7362,0.0
2020-07-03,USA,North America,388,23,362,31262,1794,28539,929,5.7386,0.0
2020-07-04,USA,North America,382,24,351,31644,1818,28890,936,5.7452,0.0
2020-07-05,USA,North America,278,22,252,31922,1840,29142,940,5.764,0.0
2020-07-06,USA,North America,335,24,299,32257,1864,29441,952,5.7786,0.0
2020-07-07,USA,North America,422,16,371,32679,1880,29812,987,5.7529,0.0
2020-07-08,USA,North America,390,20,355,33069,1900,30167,1002,5.7456,0.0
2020-07-09,USA,North America,170,14,153,33239,1914,30320,1005,5.7583,0.0
2020-07-10,USA,North America,459,24,423,33698,1938,30743,1017,5.7511,0.0
2020-07-11,USA,North America,303,24,286,34001,1962,31029,1010,5.7704,0.0
2020-07-12,USA,North America,180,10,170,34181,1972,31199,1010,5.7693,0.0
2020-07-13,USA,North America,299,17,270,34480,1989,31469,1022,5.7686,0.0
2020-07-14,USA,North America,208,7,184,34688,1996,31653,1039,5.7542,0.0
2020-07-15,USA,North America,382,14,340,35070,2010,31993,1067,5.7314,0.0
2020-07-16,USA,North America,353,14,319,35423,2024,32312,1087,5.7138,0.0
2020-07-17,USA,North America,241,20,220,35664,2044,32532,1088,5.7313,0.0
2020-07-18,USA,North America,241,10,212,35905,2054,32744,1107,5.7207,0.0
2020-07-19,USA,North America,381,15,342,36286,2069,33086,1131,5.7019,0.0
2020-07-20,USA,North America,321,13,290,36607,2082,33376,1149,5.6874,0.0
2020-07-21,USA,North America,246,14,228,36853,2096,33604,1153,5.6875,0.0
2020-07-22,USA,North America,275,22,259,37128,2118,33863,1147,5.7046,0.0
2020-07-23,USA,North America,365,12,328,37493,2130,34191,1172,5.6811,0.0
2020-07-24,USA,North America,416,17,372,37909,2147,34563,1199,5.6636,0.0
2020-07-25,USA,North America,438,22,400,38347,2169,34963,1215,5.6562,0.0
2020-07-26,USA,North America,223,12,207,38570,2181,35170,1219,5.6547,0.0
2020-07-27,USA,North America,536,17,481,39106,2198,35651,1257,5.6206,0.0
2020-07-28,USA,North America,426,25,390,39532,2223,36041,1268,5.6233,0.0
2020-07-29,USA,North America,397,14,361,39929,2237,36402,1290,5.6024,0.0
2020-07-30,USA,North America,225,10,203,40154,2247,36605,1302,5.596,0.0
2020-07-31,USA,North America,389,12,351,40543,2259,36956,1328,5.5719,0.0
2020-08-01,USA,North America,304,11,286,40847,2270,37242,1335,5.5573,0.0
2020-08-02,USA,North America,268,17,248,41115,2287,37490,1338,5.5624,0.0
2020-08-03,USA,North America,372,13,341,41487,2300,37831,1356,5.5439,0.0
2020-08-04,USA,North America,585,38,545,42072,2338,38376,1358,5.5571,0.0
2020-08-05,USA,North America,276,12,249,42348,2350,38625,1373,5.5493,0.0
2020-08-06,USA,North America,357,24,328,42705,2374,38953,1378,5.5591,0.0
2020-08-07,USA,North America,249,8,221,42954,2382,39174,1398,5.5455,0.0
2020-08-08,USA,North America,451,20,401,43405,2402,39575,1428,5.5339,0.0
2020-08-09,USA,North America,319,12,300,43724,2414,39875,1435,5.521,0.0
2020-08-10,USA,North America,295,10,270,44019,2424,40145,1450,5.5067,0.0
2020-08-11,USA,North America,415,15,376,44434,2439,40521,1474,5.489,0.0
2020-08-12,USA,North America,378,33,355,44812,2472,40876,1464,5.5164,0.0
2020-08-13,USA,North America,323,13,299,45135,2485,41175,1475,5.5057,0.0
2020-08-14,USA,North America,481,41,442,45616,2526,41617,1473,5.5375,0.0
2020-08-15,USA,North America,232,17,207,45848,2543,41824,1481,5.5466,0.0
2020-08-16,USA,North America,451,22,410,46299,2565,42234,1500,5.5401,0.0
2020-08-17,USA,North America,234,8,215,46533,2573,42449,1511,5.5294,0.0
2020-08-18,USA,North America,387,18,356,46920,2591,42805,1524,5.5222,0.0
2020-08-19,USA,North America,373,23,329,47293,2614,43134,1545,5.5272,0.0
2020-08-20,USA,North America,264,13,234,47557,2627,43368,1562,5.5239,0.0
2020-08-21,USA,North America,511,23,474,48068,2650,43842,1576,5.513,0.0
2020-08-22,USA,North America,316,23,291,48384,2673,44133,1578,5.5246,0.0
2020-08-23,USA,North America,178,9,168,48562,2682,44301,1579,5.5228,0.0
2020-08-24,USA,North America,293,23,277,48855,2705,44578,1572,5.5368,0.0
2020-08-25,USA,North America,414,35,369,49269,2740,44947,1582,5.5613,0.0
2020-08-26,USA,North America,307,10,286,49576,2750,45233,1593,5.547,0.0
2020-08-27,USA,North America,519,19,485,50095,2769,45718,1608,5.5275,0.0
2020-08-28,USA,North America,391,16,348,50486,2785,46066,1635,5.5164,0.0
2020-08-29,USA,North America,405,28,371,50891,2813,46437,1641,5.5275,0.0
2020-08-30,USA,North America,314,16,295,51205,2829,46732,1644,5.5249,0.0
2020-08-31,USA,North America,507,28,459,51712,2857,47191,1664,5.5248,0.0
2020-09-01,USA,North America,310,17,279,52022,2874,47470,1678,5.5246,0.0
2020-09-02,USA,North America,348,15,328,52370,2889,47798,1683,5.5165,0.0
2020-09-03,USA,North America,567,30,520,52937,2919,48318,1700,5.5141,0.0
2020-09-04,USA,North America,364,13,344,53301,2932,48662,1707,5.5008,0.0
2020-09-05,USA,North America,422,28,381,53723,2960,49043,1720,5.5097,0.0
2020-09-06,USA,North America,366,24,335,54089,2984,49378,1727,5.5168,0.0
2020-09-07,USA,North America,288,24,269,54377,3008,49647,1722,5.5318,0.0
2020-09-08,USA,North America,280,12,260,54657,3020,49907,1730,5.5254,0.0
2020-09-09,USA,North America,246,7,226,54903,3027,50133,1743,5.5134,0.0
2020-09-10,USA,North America,361,18,338,55264,3045,50471,1748,5.5099,0.0
2020-09-11,USA,North America,340,12,319,55604,3057,50790,1757,5.4978,0.0
2020-09-12,USA,North America,279,21,248,55883,3078,51038,1767,5.5079,0.0
2020-09-13,USA,North America,222,9,206,56105,3087,51244,1774,5.5022,0.0
2020-09-14,USA,North America,380,27,348,56485,3114,51592,1779,5.513,0.0
2020-09-15,USA,North America,432,19,390,56917,3133,51982,1802,5.5045,0.0
2020-09-16,USA,North America,165,9,156,57082,3142,52138,1802,5.5044,0.0
2020-09-17,USA,North America,435,17,400,57517,3159,52538,1820,5.4923,0.0
2020-09-18,USA,North America,567,17,533,58084,3176,53071,1837,5.4679,0.0
2020-09-19,USA,North America,277,23,254,58361,3199,53325,1837,5.4814,0.0
2020-09-20,USA,North America,302,21,268,58663,3220,53593,1850,5.489,0.0
2020-09-21,USA,North America,273,17,251,58936,3237,53844,1855,5.4924,0.0
2020-09-22,USA,North America,404,34,381,59340,3271,54225,1844,5.5123,0.0
2020-09-23,USA,North America,210,11,186,59550,3282,54411,1857,5.5113,0.0
2020-09-24,USA,North America,243,15,220,59793,3297,54631,1865,5.514,0.0
2020-09-25,USA,North America,325,10,293,60118,3307,54924,1887,5.5008,0.0
2020-09-26,USA,North America,168,10,158,60286,3317,55082,1887,5.5021,0.0
2020-09-27,USA,North America,135,6,122,60421,3323,55204,1894,5.4997,0.0
2020-09-28,USA,North America,196,8,178,60617,3331,55382,1904,5.4952,0.0
2020-09-29,USA,North America,349,13,311,60966,3344,55693,1929,5.485,0.0
2020-09-30,USA,North America,91,7,82,61057,3351,55775,1931,5.4883,0.0
2020-10-01,USA,North America,197,12,182,61254,3363,55957,1934,5.4903,0.0
2020-10-02,USA,North America,180,6,170,61434,3369,56127,1938,5.4839,0.0
2020-10-03,USA,North America,136,8,125,61570,3377,56252,1941,5.4848,0.0
2020-10-04,USA,North America,185,7,174,61755,3384,56426,1945,5.4797,0.0
2020-10-05,USA,North America,178,7,159,61933,3391,56585,1957,5.4753,0.0
2020-10-06,USA,North America,172,10,152,62105,3401,56737,1967,5.4762,0.0
2020-10-07,USA,North America,143,10,130,62248,3411,56867,1970,5.4797,0.0
2020-10-08,USA,North America,74,3,68,62322,3414,56935,1973,5.478,0.0
2020-10-09,USA,North America,220,8,196,62542,3422,57131,1989,5.4715,0.0
2020-10-10,USA,North America,101,6,91,62643,3428,57222,1993,5.4723,0.0
2020-10-11,USA,North America,118,3,105,62761,3431,57327,2003,5.4668,0.0
2020-10-12,USA,North America,191,6,171,62952,3437,57498,2017,5.4597,0.0
2020-10-13,USA,North America,204,8,189,63156,3445,57687,2024,5.4547,0.0
2020-10-14,USA,North America,115,7,103,63271,3452,57790,2029,5.4559,0.0
2020-10-15,USA,North America,151,5,135,63422,3457,57925,2040,5.4508,0.0
2020-10-16,USA,North America,156,12,141,63578,3469,58066,2043,5.4563,0.0
2020-10-17,USA,North America,139,9,124,63717,3478,58190,2049,5.4585,0.0
2020-10-18,USA,North America,140,4,124,63857,3482,58314,2061,5.4528,0.0
2020-10-19,USA,North America,103,4,90,63960,3486,58404,2070,5.4503,0.0
2020-10-20,USA,North America,120,6,113,64080,3492,58517,2071,5.4494,0.0
2020-10-21,USA,North America,72,5,65,64152,3497,58582,2073,5.4511,0.0
2020-10-22,USA,North America,82,5,73,64234,3502,58655,2077,5.4519,0.0
2020-10-23,USA,North America,64,4,58,64298,3506,58713,2079,5.4527,0.0
2020-10-24,USA,North America,50,2,47,64348,3508,58760,2080,5.4516,0.0
2020-10-25,USA,North America,150,11,133,64498,3519,58893,2086,5.456,0.0
2020-10-26,USA,North America,86,7,80,64584,3526,58973,2085,5.4596,0.0
2020-10-27,USA,North America,116,6,102,64700,3532,59075,2093,5.459,0.0
2020-10-28,USA,North America,88,5,79,64788,3537,59154,2097,5.4593,0.0
2020-10-29,USA,North America,46,1,43,64834,3538,59197,2099,5.457,0.0
2020-10-30,USA,North America,74,2,66,64908,3540,59263,2105,5.4539,0.0
2020-10-31,USA,North America,79,2,74,64987,3542,59337,2108,5.4503,0.0
2020-11-01,USA,North America,72,3,66,65059,3545,59403,2111,5.4489,0.0
2020-11-02,USA,North America,49,3,45,65108,3548,59448,2112,5.4494,0.0
2020-11-03,USA,North America,68,4,63,65176,3552,59511,2113,5.4499,0.0
2020-11-04,USA,North America,81,3,76,65257,3555,59587,2115,5.4477,0.0
2020-11-05,USA,North America,33,2,29,65290,3557,59616,2117,5.448,0.0
2020-11-06,USA,North America,37,1,34,65327,3558,59650,2119,5.4464,0.0
2020-11-07,USA,North America,56,2,50,65383,3560,59700,2123,5.4448,0.0
2020-11-08,USA,North America,40,1,36,65423,3561,59736,2126,5.443,0.0
2020-11-09,USA,North America,36,2,32,65459,3563,59768,2128,5.4431,0.0
2020-11-10,USA,North America,64,4,60,65523,3567,59828,2128,5.4439,0.0
2020-11-11,USA,North America,34,1,30,65557,3568,59858,2131,5.4426,0.0
2020-11-12,USA,North America,53,3,46,65610,3571,59904,2135,5.4428,0.0
2020-11-13,USA,North America,89,4,83,65699,3575,59987,2137,5.4415,0.0
2020-11-14,USA,North America,38,1,33,65737,3576,60020,2141,5.4399,0.0
2020-11-15,USA,North America,37,2,33,65774,3578,60053,2143,5.4398,0.0
2020-11-16,USA,North America,62,2,58,65836,3580,60111,2145,5.4378,0.0
2020-11-17,USA,North America,42,1,38,65878,3581,60149,2148,5.4358,0.0
2020-11-18,USA,North America,45,2,39,65923,3583,60188,2152,5.4351,0.0
2020-11-19,USA,North America,31,1,28,65954,3584,60216,2154,5.4341,0.0
2020-11-20,USA,North America,37,3,34,65991,3587,60250,2154,5.4356,0.0
2020-11-21,USA,North America,35,2,32,66026,3589,60282,2155,5.4357,0.0
2020-11-22,USA,North America,40,1,36,66066,3590,60318,2158,5.434,0.0
2020-11-23,USA,North America,31,1,28,66097,3591,60346,2160,5.4329,0.0
2020-11-24,USA,North America,28,2,24,66125,3593,60370,2162,5.4336,0.0
2020-11-25,USA,North America,18,1,17,66143,3594,60387,2162,5.4337,0.0
2020-11-26,USA,North America,34,2,31,66177,3596,60418,2163,5.4339,0.0
2020-11-27,USA,North America,24,1,22,66201,3597,60440,2164,5.4335,0.0
2020-11-28,USA,North America,23,0,21,66224,3597,60461,2166,5.4316,0.0
2020-11-29,USA,North America,20,0,18,66244,3597,60479,2168,5.4299,0.0
2020-11-30,USA,North America,20,1,18,66264,3598,60497,2169,5.4298,0.0
2020-12-01,USA,North America,20,1,18,66284,3599,60515,2170,5.4297,0.64
2020-12-02,USA,North America,18,1,16,66302,3600,60531,2171,5.4297,1.35
2020-12-03,USA,North America,21,1,19,66323,3601,60550,2172,5.4295,2.24
2020-12-04,USA,North America,27,1,25,66350,3602,60575,2173,5.4288,1.16
2020-12-05,USA,North America,38,3,36,66388,3605,60611,2172,5.4302,2.02
2020-12-06,USA,North America,17,0,15,66405,3605,60626,2174,5.4288,2.08
2020-12-07,USA,North America,16,0,14,66421,3605,60640,2176,5.4275,1.31
2020-12-08,USA,North America,16,0,14,66437,3605,60654,2178,5.4262,0.88
2020-12-09,USA,North America,17,0,15,66454,3605,60669,2180,5.4248,1.4
2020-12-10,USA,North America,19,1,17,66473,3606,60686,2181,5.4248,1.26
2020-12-11,USA,North America,23,1,20,66496,3607,60706,2183,5.4244,2.43
2020-12-12,USA,North America,16,0,15,66512,3607,60721,2184,5.4231,1.78
2020-12-13,USA,North America,17,1,15,66529,3608,60736,2185,5.4232,1.9
2020-12-14,USA,North America,19,0,17,66548,3608,60753,2187,5.4217,1.93
2020-12-15,USA,North America,13,0,12,66561,3608,60765,2188,5.4206,3.45
2020-12-16,USA,North America,23,1,21,66584,3609,60786,2189,5.4202,2.15
2020-12-17,USA,North America,25,1,22,66609,3610,60808,2191,5.4197,3.55
2020-12-18,USA,North America,13,0,11,66622,3610,60819,2193,5.4186,3.11
2020-12-19,USA,North America,26,0,24,66648,3610,60843,2195,5.4165,2.69
2020-12-20,USA,North America,28,1,26,66676,3611,60869,2196,5.4157,4.19
2020-12-21,USA,North America,18,1,16,66694,3612,60885,2197,5.4158,2.57
2020-12-22,USA,North America,18,0,16,66712,3612,60901,2199,5.4143,3.04
2020-12-23,USA,North America,16,0,14,66728,3612,60915,2201,5.413,4.01
2020-12-24,USA,North America,29,1,27,66757,3613,60942,2202,5.4122,3.75
2020-12-25,USA,North America,36,2,32,66793,3615,60974,2204,5.4122,4.24
2020-12-26,USA,North America,14,0,12,66807,3615,60986,2206,5.4111,4.76
2020-12-27,USA,North America,21,1,19,66828,3616,61005,2207,5.4109,4.54
2020-12-28,USA,North America,24,1,22,66852,3617,61027,2208,5.4105,4.6
2020-12-29,USA,North America,27,1,25,66879,3618,61052,2209,5.4098,5.1
2020-12-30,USA,North America,22,0,20,66901,3618,61072,2211,5.408,3.74
2020-12-31,USA,North America,27,1,25,66928,3619,61097,2212,5.4073,5.26
2021-01-01,USA,North America,15,0,13,66943,3619,61110,2214,5.4061,4.29
2021-01-02,USA,North America,20,1,17,66963,3620,61127,2216,5.406,5.11
2021-01-03,USA,North America,20,1,18,66983,3621,61145,2217,5.4058,4.17
2021-01-04,USA,North America,22,1,19,67005,3622,61164,2219,5.4056,5.35
2021-01-05,USA,North America,34,2,30,67039,3624,61194,2221,5.4058,6.07
2021-01-06,USA,North America,19,0,17,67058,3624,61211,2223,5.4043,4.45
2021-01-07,USA,North America,23,1,20,67081,3625,61231,2225,5.4039,5.68
2021-01-08,USA,North America,19,1,16,67100,3626,61247,2227,5.4039,4.6
2021-01-09,USA,North America,26,1,23,67126,3627,61270,2229,5.4033,6.22
2021-01-10,USA,North America,20,0,18,67146,3627,61288,2231,5.4017,5.65
